10000055	Abingdon and Witney College 	Q01 	92%
10002918	Hartlepool Sixth Form College 	Q21 	95%
10002918	Hartlepool Sixth Form College 	Q22 	92%
10002918	Hartlepool Sixth Form College 	Q24 	60%
10002919	Hartpury College 	Q01 	91%
10002919	Hartpury College 	Q02 	85%
10002919	Hartpury College 	Q03 	88%
10002919	Hartpury College 	Q04 	77%
10002919	Hartpury College 	Q05 	74%
10002919	Hartpury College 	Q06 	67%
10002919	Hartpury College 	Q07 	63%
10002919	Hartpury College 	Q08 	73%
10002919	Hartpury College 	Q09 	62%
10002919	Hartpury College 	Q10 	73%
10002919	Hartpury College 	Q11 	83%
10002919	Hartpury College 	Q12 	75%
10002919	Hartpury College 	Q13 	72%
10002919	Hartpury College 	Q14 	71%
10002919	Hartpury College 	Q15 	71%
10002919	Hartpury College 	Q16 	75%
10002919	Hartpury College 	Q17 	79%
10002919	Hartpury College 	Q18 	77%
10002919	Hartpury College 	Q19 	83%
10002919	Hartpury College 	Q20 	85%
10002919	Hartpury College 	Q21 	79%
10002919	Hartpury College 	Q22 	82%
10002919	Hartpury College 	Q24 	51%
10002923	Sussex Coast College, Hastings 	Q01 	91%
10002923	Sussex Coast College, Hastings 	Q02 	91%
10002923	Sussex Coast College, Hastings 	Q03 	91%
10002923	Sussex Coast College, Hastings 	Q04 	86%
10002923	Sussex Coast College, Hastings 	Q05 	79%
10002923	Sussex Coast College, Hastings 	Q06 	81%
10002923	Sussex Coast College, Hastings 	Q07 	86%
10002923	Sussex Coast College, Hastings 	Q08 	89%
10002923	Sussex Coast College, Hastings 	Q09 	82%
10002923	Sussex Coast College, Hastings 	Q10 	84%
10002923	Sussex Coast College, Hastings 	Q11 	89%
10002923	Sussex Coast College, Hastings 	Q12 	86%
10002923	Sussex Coast College, Hastings 	Q13 	83%
10002923	Sussex Coast College, Hastings 	Q14 	83%
10002923	Sussex Coast College, Hastings 	Q15 	74%
10002923	Sussex Coast College, Hastings 	Q16 	67%
10002923	Sussex Coast College, Hastings 	Q17 	62%
10002923	Sussex Coast College, Hastings 	Q18 	71%
10002923	Sussex Coast College, Hastings 	Q19 	84%
10002923	Sussex Coast College, Hastings 	Q20 	84%
10002923	Sussex Coast College, Hastings 	Q21 	81%
10002923	Sussex Coast College, Hastings 	Q22 	86%
10002923	Sussex Coast College, Hastings 	Q24 	65%
10002935	Havering College of Further and Higher Education 	Q01 	78%
10002935	Havering College of Further and Higher Education 	Q02 	79%
10002935	Havering College of Further and Higher Education 	Q03 	74%
10002935	Havering College of Further and Higher Education 	Q04 	80%
10002935	Havering College of Further and Higher Education 	Q05 	68%
10002935	Havering College of Further and Higher Education 	Q06 	67%
10002935	Havering College of Further and Higher Education 	Q07 	60%
10002935	Havering College of Further and Higher Education 	Q08 	78%
10002935	Havering College of Further and Higher Education 	Q09 	74%
10002935	Havering College of Further and Higher Education 	Q10 	71%
10002935	Havering College of Further and Higher Education 	Q11 	73%
10002935	Havering College of Further and Higher Education 	Q12 	61%
10002935	Havering College of Further and Higher Education 	Q13 	77%
10002935	Havering College of Further and Higher Education 	Q14 	64%
10002935	Havering College of Further and Higher Education 	Q15 	56%
10002935	Havering College of Further and Higher Education 	Q16 	76%
10002935	Havering College of Further and Higher Education 	Q17 	83%
10002935	Havering College of Further and Higher Education 	Q18 	77%
10002935	Havering College of Further and Higher Education 	Q19 	80%
10002935	Havering College of Further and Higher Education 	Q20 	84%
10002935	Havering College of Further and Higher Education 	Q21 	80%
10002935	Havering College of Further and Higher Education 	Q22 	74%
10002935	Havering College of Further and Higher Education 	Q24 	61%
10003010	Henley College Coventry 	Q01 	82%
10003010	Henley College Coventry 	Q02 	71%
10003010	Henley College Coventry 	Q03 	68%
10003010	Henley College Coventry 	Q04 	71%
10003010	Henley College Coventry 	Q05 	71%
10003010	Henley College Coventry 	Q06 	76%
10003010	Henley College Coventry 	Q07 	63%
10003010	Henley College Coventry 	Q08 	68%
10003010	Henley College Coventry 	Q09 	68%
10003010	Henley College Coventry 	Q10 	74%
10003010	Henley College Coventry 	Q11 	82%
10003010	Henley College Coventry 	Q12 	74%
10003010	Henley College Coventry 	Q13 	68%
10003010	Henley College Coventry 	Q14 	57%
10003010	Henley College Coventry 	Q15 	50%
10003010	Henley College Coventry 	Q16 	58%
10003010	Henley College Coventry 	Q17 	84%
10003010	Henley College Coventry 	Q18 	62%
10003010	Henley College Coventry 	Q19 	64%
10003010	Henley College Coventry 	Q20 	68%
10003010	Henley College Coventry 	Q21 	68%
10003010	Henley College Coventry 	Q22 	61%
10003010	Henley College Coventry 	Q24 	58%
10003022	Hereford College of Arts 	Q01 	93%
10003022	Hereford College of Arts 	Q02 	93%
10003022	Hereford College of Arts 	Q03 	95%
10003022	Hereford College of Arts 	Q04 	89%
10003022	Hereford College of Arts 	Q05 	88%
10003022	Hereford College of Arts 	Q06 	88%
10003022	Hereford College of Arts 	Q07 	87%
10003022	Hereford College of Arts 	Q08 	93%
10003022	Hereford College of Arts 	Q09 	86%
10003022	Hereford College of Arts 	Q10 	88%
10003022	Hereford College of Arts 	Q11 	92%
10003022	Hereford College of Arts 	Q12 	89%
10003022	Hereford College of Arts 	Q13 	77%
10003022	Hereford College of Arts 	Q14 	73%
10003022	Hereford College of Arts 	Q15 	76%
10003022	Hereford College of Arts 	Q16 	92%
10003022	Hereford College of Arts 	Q17 	91%
10003022	Hereford College of Arts 	Q18 	84%
10003022	Hereford College of Arts 	Q19 	80%
10003022	Hereford College of Arts 	Q20 	85%
10003022	Hereford College of Arts 	Q21 	77%
10003022	Hereford College of Arts 	Q22 	87%
10003022	Hereford College of Arts 	Q24 	50%
10003023	Herefordshire and Ludlow College 	Q01 	93%
10003023	Herefordshire and Ludlow College 	Q02 	96%
10003023	Herefordshire and Ludlow College 	Q03 	100%
10003023	Herefordshire and Ludlow College 	Q04 	96%
10003023	Herefordshire and Ludlow College 	Q05 	89%
10003023	Herefordshire and Ludlow College 	Q06 	100%
10003023	Herefordshire and Ludlow College 	Q07 	89%
10003023	Herefordshire and Ludlow College 	Q08 	89%
10003023	Herefordshire and Ludlow College 	Q09 	89%
10003023	Herefordshire and Ludlow College 	Q10 	93%
10003023	Herefordshire and Ludlow College 	Q11 	93%
10003023	Herefordshire and Ludlow College 	Q12 	100%
10003023	Herefordshire and Ludlow College 	Q13 	100%
10003023	Herefordshire and Ludlow College 	Q14 	100%
10003023	Herefordshire and Ludlow College 	Q15 	96%
10003023	Herefordshire and Ludlow College 	Q16 	85%
10003023	Herefordshire and Ludlow College 	Q17 	96%
10003023	Herefordshire and Ludlow College 	Q18 	88%
10003023	Herefordshire and Ludlow College 	Q19 	93%
10003023	Herefordshire and Ludlow College 	Q20 	96%
10003023	Herefordshire and Ludlow College 	Q21 	96%
10003023	Herefordshire and Ludlow College 	Q22 	100%
10003023	Herefordshire and Ludlow College 	Q24 	67%
10003035	Hertford Regional College 	Q01 	91%
10003035	Hertford Regional College 	Q02 	81%
10003035	Hertford Regional College 	Q03 	89%
10003035	Hertford Regional College 	Q04 	81%
10003035	Hertford Regional College 	Q05 	86%
10003035	Hertford Regional College 	Q06 	89%
10003035	Hertford Regional College 	Q07 	71%
10003035	Hertford Regional College 	Q08 	75%
10003035	Hertford Regional College 	Q09 	78%
10003035	Hertford Regional College 	Q10 	78%
10003035	Hertford Regional College 	Q11 	83%
10003035	Hertford Regional College 	Q12 	82%
10003035	Hertford Regional College 	Q13 	85%
10003035	Hertford Regional College 	Q14 	67%
10003035	Hertford Regional College 	Q15 	73%
10003035	Hertford Regional College 	Q16 	72%
10003035	Hertford Regional College 	Q17 	85%
10003035	Hertford Regional College 	Q18 	77%
10003035	Hertford Regional College 	Q19 	90%
10003035	Hertford Regional College 	Q20 	86%
10003035	Hertford Regional College 	Q21 	85%
10003035	Hertford Regional College 	Q22 	84%
10003035	Hertford Regional College 	Q24 	62%
10003146	Hopwood Hall College 	Q01 	91%
10003146	Hopwood Hall College 	Q02 	91%
10003146	Hopwood Hall College 	Q03 	93%
10003146	Hopwood Hall College 	Q04 	84%
10003146	Hopwood Hall College 	Q05 	84%
10003146	Hopwood Hall College 	Q06 	93%
10003146	Hopwood Hall College 	Q07 	74%
10003146	Hopwood Hall College 	Q08 	86%
10003146	Hopwood Hall College 	Q09 	86%
10003146	Hopwood Hall College 	Q10 	84%
10003146	Hopwood Hall College 	Q11 	84%
10003146	Hopwood Hall College 	Q12 	88%
10003146	Hopwood Hall College 	Q13 	93%
10003146	Hopwood Hall College 	Q14 	83%
10003146	Hopwood Hall College 	Q15 	81%
10003146	Hopwood Hall College 	Q16 	70%
10003146	Hopwood Hall College 	Q17 	79%
10003146	Hopwood Hall College 	Q18 	60%
10003146	Hopwood Hall College 	Q19 	91%
10003146	Hopwood Hall College 	Q20 	86%
10003146	Hopwood Hall College 	Q21 	79%
10003146	Hopwood Hall College 	Q22 	88%
10003146	Hopwood Hall College 	Q24 	69%
10003189	Kirklees College 	Q01 	91%
10003189	Kirklees College 	Q02 	82%
10003189	Kirklees College 	Q03 	87%
10003189	Kirklees College 	Q04 	89%
10003189	Kirklees College 	Q05 	84%
10003189	Kirklees College 	Q06 	95%
10003189	Kirklees College 	Q07 	85%
10003189	Kirklees College 	Q08 	93%
10003189	Kirklees College 	Q09 	87%
10003189	Kirklees College 	Q10 	84%
10003189	Kirklees College 	Q11 	89%
10003189	Kirklees College 	Q12 	87%
10003189	Kirklees College 	Q13 	84%
10003189	Kirklees College 	Q14 	78%
10003189	Kirklees College 	Q15 	73%
10003189	Kirklees College 	Q16 	78%
10003189	Kirklees College 	Q17 	75%
10003189	Kirklees College 	Q18 	75%
10003189	Kirklees College 	Q19 	91%
10003189	Kirklees College 	Q20 	93%
10003189	Kirklees College 	Q21 	91%
10003189	Kirklees College 	Q22 	87%
10003189	Kirklees College 	Q24 	60%
10003193	Hugh Baird College 	Q01 	92%
10003193	Hugh Baird College 	Q02 	84%
10003193	Hugh Baird College 	Q03 	84%
10003193	Hugh Baird College 	Q04 	84%
10003193	Hugh Baird College 	Q05 	92%
10003193	Hugh Baird College 	Q06 	92%
10003193	Hugh Baird College 	Q07 	88%
10003193	Hugh Baird College 	Q08 	88%
10003193	Hugh Baird College 	Q09 	84%
10003193	Hugh Baird College 	Q10 	92%
10003193	Hugh Baird College 	Q11 	100%
10003193	Hugh Baird College 	Q12 	84%
10003193	Hugh Baird College 	Q13 	84%
10003193	Hugh Baird College 	Q14 	88%
10003193	Hugh Baird College 	Q15 	68%
10003193	Hugh Baird College 	Q16 	76%
10003193	Hugh Baird College 	Q17 	76%
10003193	Hugh Baird College 	Q18 	78%
10003193	Hugh Baird College 	Q19 	92%
10003193	Hugh Baird College 	Q20 	92%
10003193	Hugh Baird College 	Q21 	88%
10003193	Hugh Baird College 	Q22 	88%
10003193	Hugh Baird College 	Q24 	72%
10003200	Hull College 	Q01 	87%
10003200	Hull College 	Q02 	81%
10003200	Hull College 	Q03 	86%
10003200	Hull College 	Q04 	81%
10003200	Hull College 	Q05 	80%
10003200	Hull College 	Q06 	82%
10003200	Hull College 	Q07 	74%
10003200	Hull College 	Q08 	83%
10003200	Hull College 	Q09 	81%
10003200	Hull College 	Q10 	79%
10003200	Hull College 	Q11 	78%
10003200	Hull College 	Q12 	81%
10003200	Hull College 	Q13 	77%
10003200	Hull College 	Q14 	66%
10003200	Hull College 	Q15 	62%
10003200	Hull College 	Q16 	73%
10003200	Hull College 	Q17 	80%
10003200	Hull College 	Q18 	70%
10003200	Hull College 	Q19 	79%
10003200	Hull College 	Q20 	79%
10003200	Hull College 	Q21 	79%
10003200	Hull College 	Q22 	80%
10003200	Hull College 	Q24 	50%
10003270	Imperial College London 	Q01 	90%
10003270	Imperial College London 	Q02 	82%
10003270	Imperial College London 	Q03 	88%
10003270	Imperial College London 	Q04 	91%
10003270	Imperial College London 	Q05 	75%
10003270	Imperial College London 	Q06 	77%
10003270	Imperial College London 	Q07 	64%
10003270	Imperial College London 	Q08 	57%
10003270	Imperial College London 	Q09 	57%
10003270	Imperial College London 	Q10 	74%
10003270	Imperial College London 	Q11 	88%
10003270	Imperial College London 	Q12 	77%
10003270	Imperial College London 	Q13 	83%
10003270	Imperial College London 	Q14 	83%
10003270	Imperial College London 	Q15 	82%
10003270	Imperial College London 	Q16 	96%
10003270	Imperial College London 	Q17 	97%
10003270	Imperial College London 	Q18 	93%
10003270	Imperial College London 	Q19 	81%
10003270	Imperial College London 	Q20 	84%
10003270	Imperial College London 	Q21 	87%
10003270	Imperial College London 	Q22 	87%
10003270	Imperial College London 	Q24 	77%
10003558	Kendal College 	Q01 	97%
10003558	Kendal College 	Q02 	97%
10003558	Kendal College 	Q03 	97%
10003558	Kendal College 	Q04 	100%
10003558	Kendal College 	Q05 	87%
10003558	Kendal College 	Q06 	93%
10003558	Kendal College 	Q07 	93%
10003558	Kendal College 	Q08 	87%
10003558	Kendal College 	Q09 	87%
10003558	Kendal College 	Q10 	90%
10003558	Kendal College 	Q11 	100%
10003558	Kendal College 	Q12 	87%
10003558	Kendal College 	Q13 	87%
10003558	Kendal College 	Q14 	90%
10003558	Kendal College 	Q15 	90%
10003558	Kendal College 	Q16 	83%
10003558	Kendal College 	Q17 	80%
10003558	Kendal College 	Q18 	76%
10003558	Kendal College 	Q19 	93%
10003558	Kendal College 	Q20 	90%
10003558	Kendal College 	Q21 	93%
10003558	Kendal College 	Q22 	93%
10003558	Kendal College 	Q24 	75%
10003564	Kensington and Chelsea College 	Q01 	96%
10003564	Kensington and Chelsea College 	Q02 	96%
10003564	Kensington and Chelsea College 	Q03 	96%
10003564	Kensington and Chelsea College 	Q04 	96%
10003564	Kensington and Chelsea College 	Q05 	88%
10003564	Kensington and Chelsea College 	Q06 	88%
10003564	Kensington and Chelsea College 	Q07 	92%
10003564	Kensington and Chelsea College 	Q08 	92%
10003564	Kensington and Chelsea College 	Q09 	88%
10003564	Kensington and Chelsea College 	Q10 	88%
10003564	Kensington and Chelsea College 	Q11 	92%
10003564	Kensington and Chelsea College 	Q12 	92%
10003564	Kensington and Chelsea College 	Q13 	92%
10003564	Kensington and Chelsea College 	Q14 	88%
10003564	Kensington and Chelsea College 	Q15 	92%
10003564	Kensington and Chelsea College 	Q16 	42%
10003564	Kensington and Chelsea College 	Q17 	81%
10003564	Kensington and Chelsea College 	Q18 	46%
10003564	Kensington and Chelsea College 	Q19 	96%
10003564	Kensington and Chelsea College 	Q20 	92%
10003564	Kensington and Chelsea College 	Q21 	96%
10003564	Kensington and Chelsea College 	Q22 	92%
10003564	Kensington and Chelsea College 	Q24 	55%
10003614	University of Winchester 	Q01 	94%
10003614	University of Winchester 	Q02 	89%
10003614	University of Winchester 	Q03 	93%
10003614	University of Winchester 	Q04 	88%
10003614	University of Winchester 	Q05 	80%
10003614	University of Winchester 	Q06 	81%
10003614	University of Winchester 	Q07 	74%
10003614	University of Winchester 	Q08 	81%
10003614	University of Winchester 	Q09 	69%
10003614	University of Winchester 	Q10 	85%
10003614	University of Winchester 	Q11 	88%
10003614	University of Winchester 	Q12 	81%
10003614	University of Winchester 	Q13 	85%
10003614	University of Winchester 	Q14 	77%
10003614	University of Winchester 	Q15 	77%
10003614	University of Winchester 	Q16 	81%
10003614	University of Winchester 	Q17 	78%
10003614	University of Winchester 	Q18 	74%
10003614	University of Winchester 	Q19 	90%
10003614	University of Winchester 	Q20 	88%
10003614	University of Winchester 	Q21 	85%
10003614	University of Winchester 	Q22 	89%
10003614	University of Winchester 	Q24 	83%
10003645	King's College London 	Q01 	87%
10003645	King's College London 	Q02 	82%
10003645	King's College London 	Q03 	87%
10003645	King's College London 	Q04 	87%
10003645	King's College London 	Q05 	63%
10003645	King's College London 	Q06 	69%
10003645	King's College London 	Q07 	59%
10003645	King's College London 	Q08 	58%
10003645	King's College London 	Q09 	54%
10003645	King's College London 	Q10 	70%
10003645	King's College London 	Q11 	86%
10003645	King's College London 	Q12 	69%
10003645	King's College London 	Q13 	77%
10003645	King's College London 	Q14 	74%
10003645	King's College London 	Q15 	70%
10003645	King's College London 	Q16 	83%
10003645	King's College London 	Q17 	87%
10003645	King's College London 	Q18 	79%
10003645	King's College London 	Q19 	75%
10003645	King's College London 	Q20 	81%
10003645	King's College London 	Q21 	79%
10003645	King's College London 	Q22 	81%
10003645	King's College London 	Q24 	68%
10003645	King's College London 	NHS1 	77%
10003645	King's College London 	NHS2 	88%
10003645	King's College London 	NHS3 	81%
10003645	King's College London 	NHS4 	90%
10003645	King's College London 	NHS5 	84%
10003645	King's College London 	NHS6 	77%
10003674	Kingston College 	Q01 	95%
10003674	Kingston College 	Q02 	86%
10003674	Kingston College 	Q03 	91%
10003674	Kingston College 	Q04 	87%
10003674	Kingston College 	Q05 	81%
10003674	Kingston College 	Q06 	80%
10003674	Kingston College 	Q07 	74%
10003674	Kingston College 	Q08 	83%
10003674	Kingston College 	Q09 	77%
10003674	Kingston College 	Q10 	85%
10003674	Kingston College 	Q11 	88%
10003674	Kingston College 	Q12 	86%
10003674	Kingston College 	Q13 	83%
10003674	Kingston College 	Q14 	80%
10003674	Kingston College 	Q15 	79%
10003674	Kingston College 	Q16 	86%
10003674	Kingston College 	Q17 	85%
10003674	Kingston College 	Q18 	73%
10003674	Kingston College 	Q19 	85%
10003674	Kingston College 	Q20 	90%
10003674	Kingston College 	Q21 	82%
10003674	Kingston College 	Q22 	90%
10003674	Kingston College 	Q24 	58%
10003676	Kingston Maurward College 	Q01 	89%
10003676	Kingston Maurward College 	Q02 	93%
10003676	Kingston Maurward College 	Q03 	89%
10003676	Kingston Maurward College 	Q04 	93%
10003676	Kingston Maurward College 	Q05 	81%
10003676	Kingston Maurward College 	Q06 	81%
10003676	Kingston Maurward College 	Q07 	74%
10003676	Kingston Maurward College 	Q08 	93%
10003676	Kingston Maurward College 	Q09 	85%
10003676	Kingston Maurward College 	Q10 	89%
10003676	Kingston Maurward College 	Q11 	93%
10003676	Kingston Maurward College 	Q12 	89%
10003676	Kingston Maurward College 	Q13 	67%
10003676	Kingston Maurward College 	Q14 	78%
10003676	Kingston Maurward College 	Q15 	67%
10003676	Kingston Maurward College 	Q16 	93%
10003676	Kingston Maurward College 	Q17 	81%
10003676	Kingston Maurward College 	Q18 	89%
10003676	Kingston Maurward College 	Q19 	85%
10003676	Kingston Maurward College 	Q20 	85%
10003676	Kingston Maurward College 	Q21 	78%
10003676	Kingston Maurward College 	Q22 	85%
10003676	Kingston Maurward College 	Q24 	60%
10003678	Kingston University 	Q01 	86%
10003678	Kingston University 	Q02 	78%
10003678	Kingston University 	Q03 	83%
10003678	Kingston University 	Q04 	81%
10003678	Kingston University 	Q05 	71%
10003678	Kingston University 	Q06 	70%
10003678	Kingston University 	Q07 	63%
10003678	Kingston University 	Q08 	66%
10003678	Kingston University 	Q09 	58%
10003678	Kingston University 	Q10 	70%
10003678	Kingston University 	Q11 	83%
10003678	Kingston University 	Q12 	70%
10003678	Kingston University 	Q13 	73%
10003678	Kingston University 	Q14 	72%
10003678	Kingston University 	Q15 	69%
10003678	Kingston University 	Q16 	83%
10003678	Kingston University 	Q17 	82%
10003678	Kingston University 	Q18 	77%
10003678	Kingston University 	Q19 	77%
10003678	Kingston University 	Q20 	82%
10003678	Kingston University 	Q21 	79%
10003678	Kingston University 	Q22 	80%
10003678	Kingston University 	Q24 	60%
10003678	Kingston University 	NHS1 	79%
10003678	Kingston University 	NHS2 	94%
10003678	Kingston University 	NHS3 	86%
10003678	Kingston University 	NHS4 	95%
10003678	Kingston University 	NHS5 	94%
10003678	Kingston University 	NHS6 	88%
10003753	Lakes College - West Cumbria 	Q01 	87%
10003753	Lakes College - West Cumbria 	Q02 	81%
10003753	Lakes College - West Cumbria 	Q03 	84%
10003753	Lakes College - West Cumbria 	Q04 	84%
10003753	Lakes College - West Cumbria 	Q05 	74%
10003753	Lakes College - West Cumbria 	Q06 	87%
10003753	Lakes College - West Cumbria 	Q07 	77%
10003753	Lakes College - West Cumbria 	Q08 	81%
10003753	Lakes College - West Cumbria 	Q09 	74%
10003753	Lakes College - West Cumbria 	Q10 	81%
10003753	Lakes College - West Cumbria 	Q11 	81%
10003753	Lakes College - West Cumbria 	Q12 	76%
10003753	Lakes College - West Cumbria 	Q13 	87%
10003753	Lakes College - West Cumbria 	Q14 	71%
10003753	Lakes College - West Cumbria 	Q15 	81%
10003753	Lakes College - West Cumbria 	Q16 	71%
10003753	Lakes College - West Cumbria 	Q17 	71%
10003753	Lakes College - West Cumbria 	Q18 	54%
10003753	Lakes College - West Cumbria 	Q19 	90%
10003753	Lakes College - West Cumbria 	Q20 	84%
10003753	Lakes College - West Cumbria 	Q21 	84%
10003753	Lakes College - West Cumbria 	Q22 	84%
10003753	Lakes College - West Cumbria 	Q24 	54%
10003755	Lambeth College 	Q01 	83%
10003755	Lambeth College 	Q02 	81%
10003755	Lambeth College 	Q03 	83%
10003755	Lambeth College 	Q04 	83%
10003755	Lambeth College 	Q05 	81%
10003755	Lambeth College 	Q06 	76%
10003755	Lambeth College 	Q07 	64%
10003755	Lambeth College 	Q08 	64%
10003755	Lambeth College 	Q09 	57%
10003755	Lambeth College 	Q10 	65%
10003755	Lambeth College 	Q11 	70%
10003755	Lambeth College 	Q12 	65%
10003755	Lambeth College 	Q13 	91%
10003755	Lambeth College 	Q14 	80%
10003755	Lambeth College 	Q15 	72%
10003755	Lambeth College 	Q16 	83%
10003755	Lambeth College 	Q17 	91%
10003755	Lambeth College 	Q18 	85%
10003755	Lambeth College 	Q19 	83%
10003755	Lambeth College 	Q20 	70%
10003755	Lambeth College 	Q21 	72%
10003755	Lambeth College 	Q22 	78%
10003755	Lambeth College 	Q24 	64%
10003854	Leeds College of Art 	Q01 	84%
10003854	Leeds College of Art 	Q02 	86%
10003854	Leeds College of Art 	Q03 	83%
10003854	Leeds College of Art 	Q04 	82%
10003854	Leeds College of Art 	Q05 	75%
10003854	Leeds College of Art 	Q06 	73%
10003854	Leeds College of Art 	Q07 	72%
10003854	Leeds College of Art 	Q08 	72%
10003854	Leeds College of Art 	Q09 	70%
10003854	Leeds College of Art 	Q10 	84%
10003854	Leeds College of Art 	Q11 	83%
10003854	Leeds College of Art 	Q12 	86%
10003854	Leeds College of Art 	Q13 	77%
10003854	Leeds College of Art 	Q14 	70%
10003854	Leeds College of Art 	Q15 	65%
10003854	Leeds College of Art 	Q16 	95%
10003854	Leeds College of Art 	Q17 	95%
10003854	Leeds College of Art 	Q18 	91%
10003854	Leeds College of Art 	Q19 	85%
10003854	Leeds College of Art 	Q20 	89%
10003854	Leeds College of Art 	Q21 	84%
10003854	Leeds College of Art 	Q22 	85%
10003854	Leeds College of Art 	Q24 	60%
10003861	Leeds Metropolitan University 	Q01 	89%
10003861	Leeds Metropolitan University 	Q02 	80%
10003861	Leeds Metropolitan University 	Q03 	85%
10003861	Leeds Metropolitan University 	Q04 	78%
10003861	Leeds Metropolitan University 	Q05 	81%
10003861	Leeds Metropolitan University 	Q06 	74%
10003861	Leeds Metropolitan University 	Q07 	57%
10003861	Leeds Metropolitan University 	Q08 	64%
10003861	Leeds Metropolitan University 	Q09 	61%
10003861	Leeds Metropolitan University 	Q10 	79%
10003861	Leeds Metropolitan University 	Q11 	85%
10003861	Leeds Metropolitan University 	Q12 	75%
10003861	Leeds Metropolitan University 	Q13 	76%
10003861	Leeds Metropolitan University 	Q14 	76%
10003861	Leeds Metropolitan University 	Q15 	72%
10003861	Leeds Metropolitan University 	Q16 	87%
10003861	Leeds Metropolitan University 	Q17 	89%
10003861	Leeds Metropolitan University 	Q18 	84%
10003861	Leeds Metropolitan University 	Q19 	79%
10003861	Leeds Metropolitan University 	Q20 	83%
10003861	Leeds Metropolitan University 	Q21 	80%
10003861	Leeds Metropolitan University 	Q22 	81%
10003861	Leeds Metropolitan University 	Q24 	66%
10003861	Leeds Metropolitan University 	NHS1 	88%
10003861	Leeds Metropolitan University 	NHS2 	97%
10003861	Leeds Metropolitan University 	NHS3 	91%
10003861	Leeds Metropolitan University 	NHS4 	94%
10003861	Leeds Metropolitan University 	NHS5 	89%
10003861	Leeds Metropolitan University 	NHS6 	89%
10003863	Leeds Trinity University 	Q01 	93%
10003863	Leeds Trinity University 	Q02 	85%
10003863	Leeds Trinity University 	Q03 	89%
10003863	Leeds Trinity University 	Q04 	86%
10003863	Leeds Trinity University 	Q05 	85%
10003863	Leeds Trinity University 	Q06 	82%
10003863	Leeds Trinity University 	Q07 	70%
10003863	Leeds Trinity University 	Q08 	81%
10003863	Leeds Trinity University 	Q09 	72%
10003863	Leeds Trinity University 	Q10 	83%
10003863	Leeds Trinity University 	Q11 	87%
10003863	Leeds Trinity University 	Q12 	81%
10003863	Leeds Trinity University 	Q13 	81%
10003863	Leeds Trinity University 	Q14 	72%
10003863	Leeds Trinity University 	Q15 	79%
10003863	Leeds Trinity University 	Q16 	76%
10003863	Leeds Trinity University 	Q17 	79%
10003863	Leeds Trinity University 	Q18 	78%
10003863	Leeds Trinity University 	Q19 	82%
10003863	Leeds Trinity University 	Q20 	84%
10003863	Leeds Trinity University 	Q21 	81%
10003863	Leeds Trinity University 	Q22 	86%
10003863	Leeds Trinity University 	Q24 	54%
10003867	Leicester College 	Q01 	97%
10003867	Leicester College 	Q02 	93%
10003867	Leicester College 	Q03 	93%
10003867	Leicester College 	Q04 	86%
10003867	Leicester College 	Q05 	84%
10003867	Leicester College 	Q06 	79%
10003867	Leicester College 	Q07 	75%
10003867	Leicester College 	Q08 	81%
10003867	Leicester College 	Q09 	81%
10003867	Leicester College 	Q10 	92%
10003867	Leicester College 	Q11 	87%
10003867	Leicester College 	Q12 	85%
10003867	Leicester College 	Q13 	83%
10003867	Leicester College 	Q14 	83%
10003867	Leicester College 	Q15 	81%
10003867	Leicester College 	Q16 	72%
10003867	Leicester College 	Q17 	77%
10003867	Leicester College 	Q18 	74%
10003867	Leicester College 	Q19 	87%
10003867	Leicester College 	Q20 	86%
10003867	Leicester College 	Q21 	88%
10003867	Leicester College 	Q22 	91%
10003867	Leicester College 	Q24 	67%
10003894	LeSoCo 	Q01 	97%
10003894	LeSoCo 	Q02 	97%
10003894	LeSoCo 	Q03 	97%
10003894	LeSoCo 	Q04 	95%
10003894	LeSoCo 	Q05 	95%
10003894	LeSoCo 	Q06 	89%
10003894	LeSoCo 	Q07 	84%
10003894	LeSoCo 	Q08 	82%
10003894	LeSoCo 	Q09 	79%
10003894	LeSoCo 	Q10 	87%
10003894	LeSoCo 	Q11 	92%
10003894	LeSoCo 	Q12 	84%
10003894	LeSoCo 	Q13 	84%
10003894	LeSoCo 	Q14 	86%
10003894	LeSoCo 	Q15 	92%
10003894	LeSoCo 	Q16 	82%
10003894	LeSoCo 	Q17 	92%
10003894	LeSoCo 	Q18 	89%
10003894	LeSoCo 	Q19 	92%
10003894	LeSoCo 	Q20 	92%
10003894	LeSoCo 	Q21 	89%
10003894	LeSoCo 	Q22 	92%
10003894	LeSoCo 	Q24 	72%
10003928	Lincoln College 	Q01 	92%
10003928	Lincoln College 	Q02 	88%
10003928	Lincoln College 	Q03 	88%
10003928	Lincoln College 	Q04 	79%
10003928	Lincoln College 	Q05 	92%
10003928	Lincoln College 	Q06 	92%
10003928	Lincoln College 	Q07 	79%
10003928	Lincoln College 	Q08 	83%
10003928	Lincoln College 	Q09 	75%
10003928	Lincoln College 	Q10 	83%
10003928	Lincoln College 	Q11 	88%
10003928	Lincoln College 	Q12 	78%
10003928	Lincoln College 	Q13 	67%
10003928	Lincoln College 	Q14 	67%
10003928	Lincoln College 	Q15 	71%
10003928	Lincoln College 	Q16 	100%
10003928	Lincoln College 	Q17 	92%
10003928	Lincoln College 	Q18 	91%
10003928	Lincoln College 	Q19 	79%
10003928	Lincoln College 	Q20 	79%
